id;price;name
Д1131;1700;Радар-детектор Inspector RD-U2 K, Ka, Ku, X, детектор лазера, режим Город, режим Трасса
Г9847;2450;Радар-детектор Inspector RD-U4 K, Ka, Ku, X, Ultra-Ka, POP, детектор лазера, режим Город, режим Т
Г3266;2600;Радар-детектор Inspector RD-U5-v K, Ka, X, Ultra-Ka, Ultra-X, обнаружение Стрелки, POP, Instant-On
В9586;4190;Столик проекционный Projecta Gigant
В3104;3075;Экран на штативе Elite Screens 127x127 / 1:1 / White Case M71XWS1/T71NWS1
Г9694;2780;Экран на штативе Lumien Master View 127x127 см Matte White FiberGlass (LMV-100101)
Д6448;13550;Проектор Acer X112 DLP, 3D, 800x600,ANSI 2700 Lm, 12000:1, 30db
Д7551;14390;Проектор BenQ MS504  DLP, разрешение: 800x600, 3D, яркость: 3000 лм, контрастность: 13000:1, вес: 1.
A1145;1120;Каб. координирующая панель, 1 U 19  Rittal  7159035
Д4064;250;Площадка Hyperline HW-2A для крепления стяжек (12,7x12,7 мм) (100 шт)
Б8618;300;Площадка Hyperline HW-3A Самоклеящаяся для крепл. стяжек (19x19 мм) (100 шт)
В5293;263;Настольный удлинитель Power Cube mini.,4 розетки,черный,1.8 м.
В8796;92;Сетевой фильтр (5 розеток) 1,2 метра
Г0340;39;Диск для записи BD-R 25Gb  4x (без коробки поштучно)
94352;190;Накопитель  4Gb Flash USB DRIVE USB 2.0
Б8608;320;AL143S1B01130 Переводчик ABBYY Medved Edition
Г9818;1650;Память DDR3 4096Mb 1600MHz Kingston KVR16N11/4
Д6096;1580;Память DDR3 4096Mb 1600MHz Patriot
В9741;1990;Память DDR3 4096Mb 1600MHz, Corsair 1x4GB,9-9-9-24, Veng,1.5V,Core i7,i5/AMD CMZ4GX3M1A1600C9B
Д4090;738;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Titan TTC-NC35TZ/RPW(RB) 4pin 14-35dB Al+Cu 115W 430g
Д4091;498;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Titan TTC-NC65TX(RB) 3pin 17-26dB Al+Cu 110W 410g кли
Д6153;2670;Жесткий диск 1000 Gb Seagete ST1000VM002 3.5,64MB,SATA III-600
Д6004;2630;Жесткий диск 1000 Gb Toshiba DT01ABA100V SATA-III (5700rpm) 32Mb 3.5
Д4784;2565;Жесткий диск 1000 GB Toshiba MK1002TSKB SATA3
Д6275;2590;Жесткий диск для ноутбука (2,5,SATA-III) 1000Gb Hitachi HTS721010A9E630_0J22423 7200rpm, 32Mb (Trav
Д5856;2390;Жесткий диск для ноутбука (2,5,SATA-III) 1000Gb WD WD10JPVX (5400rpm) 8Mb 2.5
Д6529;1550;Жесткий диск для ноутбука (2,5,SATA-III) 500Gb Toshiba MQ01ABF050 5400rpm/8Mb/7mm
Д4631;590;Привод DVD+/-RW Samsung SH-224DB/BEBE SATA Black Bulk
Д6832;1450;Видеокарта PCI-EX NVidia GIGABYTE 1024 MB GT610 DDR3 810MHz 1.20GHz/64bit, PCI-E 3.0 x16, 1xDVI, 1xH
Д1946;3690;Видеокарта PCI-EX NVidia GIGABYTE 1024 MB GT650 DDR5 1110MHz 1.25GHz(5.0QDR)/128bit, PCI-E 3.0 x16,
Д6124;4650;Видеокарта PCI-EX NVidia GIGABYTE 1024Mb GTX650Ti DDR5 100mm Triangle, 1032MHz, 128bit, PCI-E 3.0 x1
Г5620;2690;Радар-детектор Inspector RD-X1 Xi диапазоны К, Ка, Лазер, РОР, подсветка, AutoMute, AutoPower
Г7186;2630;Радар-детектор Inspector RD-X1 КАРРА диапазоны К, Ка, Лазер, РОР, подсветка, AutoMute, AutoPower,  г
Д1281;2290;Экран на штативе ScreenMedia Apollo-T 150х150 MW 1:1  SCM-T-AT150
Д2748;2040;Экран настенно-потолочный Draper Star AV (1:1) 70/70 178*178 MW ручной, 209003B
94113;1660;Комм панель 19 1U 50xRJ-45  Exalan (1718)
92872;890;Комм панель 19, 1U, 24xRJ-45, черн, мал глубина EXALAN(3101)
15082;890;Комм панель, телеф, 19, 1U, 24xRJ-45, черн, мал глубина (3126)
Б2053;395;Площадка Hyperline HW-4A Самоклеящаяся для крепл. стяжек (28x28 мм) (100 шт.)
В4054;457;Площадка Hyperline HW-8ABC Самоклеящийся кабельный д.16мм , площадка 20x20мм (100 шт)
00910;83;Площадка самоклеющаяся  20 х 20  ( 100шт )
Б2458;150;Сетевой фильтр (6 розеток) 1,8 метра
Б2459;180;Сетевой фильтр (6 розеток) 3 метра
Б2460;210;Сетевой фильтр (6 розеток) 5 метров
В3146;105;Диск для записи BD-R 25Gb TDK  2x (без коробки поштучно)
99606;260;Накопитель  8Gb Flash USB DRIVE USB 2.0
Б2676;320;Карта памяти MemoryStick Micro 4Gb
98738;1.5;Конверт для 1-CD бумажный
71674;38;Диск для записи DVD+RW 4.7Gb Verbatim, 4x Slim
Д5887;18;Диск для записи DVD+R 4.7Gb Smart Buy, 16x slim
A0394;15;Диск для записи CD-ReWritable 700Mb  без коробки
Д7398;2990;Память DDR3 8192MB 1333MHz Corsair (CMV8GX3M1A1333C9) RTL
Д6097;3190;Память DDR3 8192Mb 1333MHz Crucial (CT102464BA1339) 1 RTL (PC3-10600) CL9 Unbuffered UDIMM 240pin
Д2838;2780;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 ZALMAN 12X Вентилятор 3*113мм 22-24dBA, W-DTH, LED bl
В6983;160;Вентилятор S_939/754/940/AM2 Thermaltake CL-P0444 RSI
Д6531;2990;Жесткий диск 1000 GB WD WD1003FBYZ SATA3 (7200rpm) 64Mb Raid Edition
Д6677;2490;Жесткий диск 1000 Gb WD10EURX AV-GP SATA-III (5400rpm) 64Mb 3.5
Д0532;2480;Жесткий диск 1000 Gb WD10EZEX SATA3 7200 rpm 64Mb
Д6408;2090;Жесткий диск для ноутбука (2,5,SATA-III) 500Gb WD Original   WD5000BPKX Black (7200rpm) 16Mb 2.5
Д6164;2080;Жесткий диск для ноутбука (2,5,SATAII)  750Gb WD7500BPVT  5400rpm, 2.5 8Mb (Scorpio Blue) AdvForma
Д6490;4290;Видеокарта PCI-EX NVidia Gigabyte 1Gb GDDR5/128-bit GTX650 WindForce2, , PCI-Ex16 3.0, 1xD-sub, 2xDV
Г8082;2590;Радар-детектор Inspector RD-X2 Delta LED дисплей/X/K/Ka/Лазер/POP/Фильтр ложных срабатываний
Д4533;6490;Радар-детектор Inspector X2 Gamma K, Ka, Ku, X, обнаружение Стрелки, POP, детектор лазера, режим
Б6568;1490;Экран настенный Economy-P 150*150 MW 1:1 SPM-1101
Б6569;1990;Экран настенный Economy-P 180*180 MW 1:1 SPM-1102
97682;4900;Одномодовые сплайсы CORELINK AMP-503577-1 упаковка из 12 штук
В5777;26;Площадка самоклеющаяся  20 х 20  под хомут ( 20шт )
В6389;16;Проходник телефонный RJ-12(11)
A1036;297;Сетевой фильтр (6 розеток+2 USB) 1.8 метра, BURO черн
A2580;290;Накопитель  8Gb Flash USB DRIVE USB 2.0 JetFlashTranscend
Д0891;290;Накопитель  8Gb Flash USB DRIVE USB 2.0 mini
В2185;256;Карта памяти MemoryStick Micro M2 2Gb
В2184;391;Карта памяти MemoryStick Micro M2 8Gb
98739;1;Конверт для 1-CD полиэт. (липкая полоса)
11557;2;Конверт для 2-CD пластик
98277;18;Диск для записи DVD-/+RW 4.7Gb без коробки
93315;39;Диск для записи DVD-RW 4.7Gb TDK 4x  Slim
В2021;18;Диск для записи DVD+R 4.7Gb Smart Track, 16x slim
94786;24;Диск для записи DVD+R 4.7Gb TDK  16x Slim
Д7538;125;Диск для записи DVD+R 4.7Gb TDK, 16x Cake Box (10шт)
07601;35;Диск для записи CD-ReWritable 700Mb Verbatim 8-12x Slim
Г0473;940;Кронштейн ARM Media PROJECTOR-3 для проектора потолочный 3 ст. наклон до 20 кг
Д3801;1590;Адаптеры беспроводной сети (Wi-FI) Philips PTA01/00
В2044;2300;ТВ тюнер AverMedia TV Hybrid Express HDTV (MPEG-2 1080i/720P)ПДУ expressCard
Д6623;2790;Память DDR3 8192Mb 1333MHz Hynix-1
Д6093;2890;Память DDR3 8192Mb 1333MHz Kingmax RTL
Д1813;246;Вентилятор S_939/754/AM2/AM3/FM1 GlacialTech Igloo A330 Light Al Sleeve 2600RPM 3pin 95W OEM
Д0529;2350;Жесткий диск 1000 Gb WD10EZRX SATA3 7200 rpm 64Mb
В3184;2880;Жесткий диск 1500 GB WD WD15EARS  ATA II 5400 rpm 64mb
Д5854;4990;Жесткий диск 2000 Gb Hitachi HUA723020ALA640 SATA-III (7200rpm) 64Mb 3.5 Raid Edition
Д1945;4640;Видеокарта PCI-EX NVidia GIGABYTE 2048 MB GT650 GDDR5 1110MHz 1.25GHz(5.0QDR)/128bit, PCI-E 3.0 x16,
Д6492;1630;Видеокарта PCI-EX Nvidia Gigabyte 2048Mb GT610  DDR3 810/1333 GV-N610D3-2GI  DVI+HDMI+CRT RTL
Д7477;1990;Радар-детектор Neoline X-COP 3000  X, K, Ka, Лазер, Стрелка Город/Трасса
Д1186;2690;Экран настенный Economy-P 200*200 MW 1:1 SPM-1103
A1146;2762;Патч-панель AMP-406330-1 Patch Panel, UTP, 24 ports, 19, Cat.5e
Б3782;1070;Патч-панель Hyperline PP-19-24-6P4C-C2 19, 24xRJ-12, телефонная, Тайвань
Б8650;50;Стяжка Hyperline GT-100MC нейлоновая неоткрывающаяся 100x2.5мм, (100 шт)
Г7398;154;Сетевой фильтр Gembird SPG6-B-15 5 м 6 розеток
Г6990;211;Сетевой фильтр Ippon BK232 (6 розеток 3.0 м)
Д3967;450;Накопитель  8Gb Flash USB DRIVE USB 3.0
